applicant_id,age,annual_income,credit_score,employment_years,debt_to_income_ratio,num_credit_lines,loan_approved
10065,54.8,44563.39,701,0.4,0.2012,2,0
10066,61.3,33204.95,633,9.6,0.2551,2,0
10067,44.1,30579.78,485,16.8,0.3784,5,0
10068,57.0,67412.4,669,8.1,0.3946,4,0
10069,49.3,42984.48,794,9.1,0.1716,3,1
10070,37.3,55197.56,754,11.5,0.5081,3,1
10071,49.3,49296.19,757,1.7,0.4358,5,0
10072,63.5,57155.61,779,16.5,0.2443,1,1
10073,44.6,51152.33,687,9.0,0.1194,3,0
10074,63.8,30755.12,696,16.2,0.3283,7,0
10075,18.0,64944.0,631,4.3,0.2831,5,0
10076,54.9,42593.65,655,17.1,0.367,6,0
10077,46.0,26651.27,729,11.9,0.2955,5,1
10078,41.4,43578.27,776,10.8,0.05,4,1
10079,46.1,72511.4,669,9.2,0.2917,4,1
10080,21.1,62753.33,644,6.8,0.3042,4,0
10081,42.4,44770.22,680,14.0,0.445,5,0
10082,49.3,44761.13,728,8.7,0.2453,3,0
10083,62.7,45175.47,564,0.0,0.6018,5,0
10084,38.8,81151.22,496,2.4,0.0633,5,0
10085,35.3,55729.03,636,7.1,0.5467,0,0
10086,39.0,56450.62,582,9.5,0.3164,5,0
10087,56.0,65454.25,639,7.7,0.4789,2,0
10088,48.9,53581.84,668,14.1,0.362,6,0
10089,38.6,46114.37,644,0.0,0.5209,4,0
10090,51.2,47054.75,796,8.7,0.2919,3,1
10091,46.2,48925.98,706,0.0,0.1852,5,0
10092,56.6,49441.67,704,11.8,0.5631,7,1
10093,36.6,60914.44,730,7.5,0.333,4,0
10094,41.1,50779.19,589,10.1,0.3832,2,0
10095,40.3,60989.6,763,3.7,0.5352,5,1
10096,27.4,48789.25,674,14.4,0.1952,3,1
10097,48.6,51179.53,734,13.2,0.4393,0,1
10098,48.1,20026.99,594,10.9,0.2615,3,0
10099,45.1,63744.92,556,7.4,0.3302,9,0
10100,42.2,55197.33,745,10.9,0.3608,4,0
10101,28.0,64970.15,710,4.5,0.125,5,1
10102,40.0,15000.0,608,12.3,0.2332,4,0
10103,40.9,81325.62,610,16.2,0.5527,2,0
10104,35.4,47906.16,770,13.4,0.4829,3,1
10105,43.1,66622.74,585,4.4,0.3406,4,0
10106,49.8,34401.41,811,9.8,0.3865,5,1
10107,67.6,59191.61,608,1.5,0.3059,4,0
10108,47.1,34198.77,731,10.9,0.5535,5,0
10109,48.1,40643.47,654,10.3,0.3199,4,0
10110,44.1,78710.47,728,0.0,0.3848,4,0
10111,22.0,47139.76,636,2.2,0.5219,5,0
10112,44.7,53261.49,667,6.6,0.2334,5,1
10113,45.7,63051.02,683,6.5,0.5838,3,0
10114,74.6,57435.23,600,2.0,0.1204,3,0
10115,42.7,52256.28,739,9.9,0.5944,2,0
10116,48.6,55474.42,639,9.3,0.2941,1,1
10117,44.6,86051.23,662,7.0,0.3136,6,1
10118,31.0,49135.72,600,4.2,0.0665,3,1
10119,58.7,53016.49,475,13.2,0.2818,3,0
10120,54.0,65759.82,665,16.3,0.194,3,1
10121,54.5,66582.89,850,5.6,0.2589,5,1
10122,34.1,67805.45,743,4.9,0.3294,4,0
10123,61.8,59580.95,678,10.5,0.4937,6,0
10124,28.2,32854.93,659,6.2,0.3811,3,0
10125,52.0,74501.47,682,7.3,0.3962,1,0
10126,71.3,32804.82,724,11.7,0.1857,3,0
10127,33.1,54539.53,586,0.0,0.2179,7,0
10128,38.2,38685.86,769,14.6,0.6198,5,0
10129,46.2,49037.92,737,8.4,0.2397,4,0
10130,39.0,54931.44,737,5.9,0.5984,6,0
10131,26.4,54820.36,715,7.6,0.3135,6,1
10132,45.8,56328.81,682,7.8,0.3503,2,1
10133,32.3,74205.67,734,0.0,0.5106,3,0
10134,50.7,56803.01,727,15.5,0.5408,6,1
10135,34.0,46337.65,652,8.2,0.3334,4,0
10136,63.6,64461.31,634,10.2,0.2918,1,1
10137,35.6,67842.06,688,12.8,0.3416,2,0
10138,41.1,31585.88,804,2.9,0.4007,5,0
10139,54.8,58961.0,581,10.4,0.4837,3,0
10140,30.2,60517.59,563,6.7,0.3506,5,0
10141,47.7,45536.55,693,12.2,0.4428,4,0
10142,60.7,70635.6,684,0.0,0.5958,5,0
10143,25.7,47749.17,694,7.5,0.4072,5,0
10144,47.2,51883.65,700,5.0,0.3967,3,0
10145,48.1,47403.92,662,10.2,0.1222,6,0
10146,54.4,50233.69,799,10.4,0.05,6,1
10147,30.2,33555.87,552,4.5,0.4083,4,0
10148,29.2,28399.24,614,4.4,0.3358,2,0
10149,51.3,73917.58,672,7.4,0.2728,3,1
10150,48.6,37295.58,549,3.5,0.3865,5,0
10151,48.0,35129.11,666,12.2,0.3409,5,0
10152,49.2,17699.15,813,6.2,0.5192,3,0
10153,36.8,40415.57,682,0.0,0.3629,3,0
10154,47.8,30153.65,698,6.1,0.238,3,1
10155,48.5,74630.23,579,2.8,0.4985,2,0
10156,36.4,65147.26,631,0.0,0.3174,4,0
10157,67.4,39677.74,650,1.8,0.429,1,0
10158,50.7,83786.54,655,8.5,0.2784,6,1
10159,30.7,64726.48,783,14.6,0.2525,5,1
10160,52.9,45127.53,725,9.6,0.3626,4,0
10161,33.3,15000.0,591,5.0,0.3519,2,0
10162,54.4,84364.14,700,10.3,0.422,4,1
10163,58.9,29156.41,720,5.7,0.3097,5,0
10164,35.2,25319.02,771,4.5,0.0745,5,0
10165,56.6,65338.56,806,2.2,0.2851,5,1
10166,50.0,86596.29,599,0.0,0.4691,6,0
10167,54.9,70764.09,615,6.1,0.3054,6,1
10168,67.8,58458.64,579,8.8,0.313,4,0
10169,42.1,58921.32,661,7.5,0.498,4,0
10170,36.0,62801.23,717,5.9,0.2432,5,0
10171,34.3,61383.93,759,3.3,0.1186,6,1
10172,35.2,54217.87,674,11.0,0.3259,4,1
10173,44.1,51563.02,654,1.4,0.2774,6,0
10174,49.1,49061.1,692,11.9,0.2051,2,1
10175,48.3,38690.53,613,3.0,0.3237,3,0
10176,54.9,45789.87,847,4.2,0.4237,4,1
10177,45.2,24605.65,551,0.7,0.3486,5,0
10178,62.4,48524.91,695,5.5,0.396,4,0
10179,41.8,35171.13,842,12.9,0.622,6,1
10180,77.6,33446.16,681,10.6,0.2986,2,0
10181,52.5,52698.41,665,12.9,0.3918,7,1
10182,34.7,70880.03,651,10.6,0.2736,2,0
10183,32.1,63774.75,666,2.5,0.223,3,0
10184,50.8,26442.49,790,6.3,0.2623,7,1
10185,42.3,35155.58,503,4.1,0.2782,2,0
10186,53.6,64111.57,803,14.7,0.4039,3,1
10187,50.7,35262.69,566,2.0,0.7024,2,0
10188,44.1,46630.5,659,12.5,0.2426,5,0
10189,34.8,58250.78,646,12.5,0.2875,1,0
10190,26.8,35474.83,727,17.1,0.3405,4,1
10191,39.6,51580.63,552,6.0,0.4094,2,0
10192,55.3,29989.62,717,11.6,0.3895,4,0
10193,47.6,40979.49,842,19.4,0.5426,4,1
10194,30.1,54796.73,571,4.9,0.05,3,0
10195,47.1,26105.09,695,0.3,0.05,3,0
10196,49.6,56607.12,627,0.0,0.2756,3,0
10197,34.4,49705.43,714,11.6,0.5146,4,0
10198,46.8,58287.35,682,0.0,0.1152,4,0
10199,45.7,53358.71,629,6.1,0.05,3,0
10200,31.3,70462.11,719,10.2,0.4357,5,0
10201,49.3,51878.37,824,8.9,0.3865,3,1
10202,51.7,43558.92,665,10.1,0.1865,5,1
10203,58.0,51834.46,738,9.1,0.2022,1,1
10204,57.6,58149.47,577,14.4,0.2045,6,0
10205,28.5,50732.9,603,3.2,0.3666,6,0
10206,33.7,50608.88,718,4.6,0.2561,2,1
10207,51.2,39470.12,799,4.1,0.4241,6,0
10208,51.2,40056.49,708,12.2,0.05,6,0
10209,51.2,28960.92,655,12.5,0.2215,4,0
10210,80.0,76243.65,680,10.3,0.1811,2,1
10211,51.9,31342.05,580,13.9,0.3115,3,0
10212,58.6,39606.42,728,2.1,0.2693,5,0
10213,56.4,39223.89,751,16.3,0.4697,3,1
10214,52.8,63423.87,644,15.6,0.0711,1,1
10215,41.2,45575.75,642,11.7,0.3568,3,0
10216,54.1,68716.13,701,16.9,0.4338,4,1
10217,35.7,39897.64,645,0.0,0.6285,4,0
10218,42.2,54184.91,675,5.4,0.2777,5,0
10219,39.2,37469.79,848,4.3,0.3987,4,1
10220,46.0,82177.24,660,11.6,0.0794,1,0
10221,72.8,32186.02,651,2.7,0.05,4,0
10222,22.6,54647.31,628,11.8,0.4767,2,0
10223,53.2,59506.65,740,14.9,0.3492,4,1
10224,25.6,56206.99,666,11.5,0.5268,2,0
10225,39.3,47220.69,628,9.4,0.144,3,0
10226,58.1,48052.69,786,3.1,0.428,2,0
10227,45.8,50657.17,794,3.8,0.6303,4,1
10228,32.1,47794.97,632,14.2,0.413,3,0
10229,36.4,64458.19,531,11.9,0.3915,6,0
10230,53.2,83157.85,761,7.8,0.3513,3,1
10231,36.2,41637.62,625,5.9,0.1144,6,0
10232,47.6,29452.96,743,0.0,0.5533,2,0
10233,45.5,48675.77,522,2.6,0.2584,5,0
10234,37.2,88695.64,751,17.6,0.4257,4,1
10235,70.7,37944.88,583,1.6,0.1155,7,0
10236,52.6,74586.75,738,8.9,0.1731,4,0
10237,20.7,75165.51,681,13.0,0.5653,2,1
10238,47.2,41696.18,604,1.7,0.2979,4,0
10239,37.1,58534.75,647,8.9,0.568,8,0
10240,55.2,74425.95,735,12.7,0.3383,3,1
10241,35.5,44313.08,688,8.1,0.0737,2,0
10242,43.6,46946.29,727,22.3,0.4838,5,0
10243,51.1,41274.79,838,0.0,0.2615,4,1
10244,55.4,34778.65,555,13.3,0.4548,2,0
10245,30.6,40260.84,809,7.1,0.3538,6,0
10246,41.0,31640.9,688,11.9,0.1185,3,0
10247,39.3,50511.25,608,10.2,0.3746,2,0
10248,37.2,38450.4,574,4.3,0.6794,8,0
10249,66.2,53506.79,665,9.1,0.4239,5,0
10250,49.9,26661.57,754,0.0,0.3414,4,0
10251,29.9,54963.2,670,11.0,0.5113,2,0
10252,56.0,62502.93,801,9.5,0.3816,3,1
10253,70.5,20093.97,564,11.2,0.3814,6,0
10254,57.4,55610.85,679,13.3,0.1863,0,0
10255,26.8,68415.03,580,9.8,0.3851,3,0
10256,39.2,31855.38,709,8.7,0.5053,3,0
10257,60.2,75088.59,751,3.6,0.2246,5,1
10258,36.5,56285.29,646,4.4,0.5637,0,0
10259,50.3,39424.82,472,13.9,0.3362,5,0
10260,54.3,49163.46,696,15.2,0.2168,4,0
10261,33.9,58374.9,715,6.8,0.4996,2,0
10262,44.3,51140.08,712,8.2,0.307,4,0
10263,18.0,58081.34,779,3.5,0.4639,6,0
10264,32.7,36189.9,594,13.9,0.3062,8,0
10265,42.0,52540.41,734,11.3,0.341,3,0
10266,30.0,28794.28,775,17.7,0.424,2,0
10267,64.6,48331.61,538,3.6,0.3936,3,0
10268,27.8,36441.39,706,6.1,0.0507,3,0
10269,39.7,38967.05,640,9.2,0.1818,2,0
10270,46.6,68541.4,673,11.2,0.4894,1,0
10271,62.3,66369.65,708,6.9,0.3302,7,1
10272,27.8,59137.07,641,3.6,0.2714,5,1
10273,59.0,33615.31,626,12.4,0.1462,8,0
10274,45.1,45253.87,683,11.6,0.188,3,1
10275,33.2,68196.47,593,3.4,0.05,4,0
10276,50.5,52125.75,593,14.8,0.3348,5,0
10277,47.4,84789.94,734,13.9,0.2602,7,1
10278,37.8,55899.77,588,8.7,0.205,5,0
10279,45.8,52880.74,733,8.4,0.3398,1,1
10280,40.4,45363.25,717,10.8,0.4046,3,0
10281,46.4,52003.11,542,3.7,0.664,3,0
10282,52.9,47712.95,626,8.2,0.1232,7,0
10283,64.0,60621.63,776,0.0,0.5239,3,0
10284,30.1,64350.53,602,12.4,0.496,4,0
10285,70.6,38210.16,643,0.2,0.2331,0,0
10286,21.6,30031.51,717,15.5,0.3805,4,1
10287,43.2,22456.92,743,6.3,0.2814,3,0
10288,52.1,57619.87,660,6.9,0.3779,4,0
10289,48.4,33449.5,632,4.9,0.5764,4,0
10290,37.5,17706.64,794,6.6,0.4408,2,0
10291,42.5,55828.68,819,15.1,0.4263,6,1
10292,39.1,87394.99,758,0.0,0.2855,5,1
10293,37.9,49908.94,687,14.4,0.1274,4,1
10294,55.2,62577.36,615,9.7,0.3187,2,0
10295,49.3,51227.44,614,2.0,0.531,5,0
10296,36.7,48516.66,722,2.6,0.1209,1,0
10297,55.8,63786.15,713,16.4,0.1917,4,0
10298,48.7,45645.88,792,3.3,0.3689,5,1
10299,54.8,54010.88,732,2.2,0.2023,0,1
10300,52.6,54825.47,560,13.7,0.2311,3,0
10301,35.1,39978.64,764,9.7,0.2865,1,0
10302,38.3,64880.64,600,3.3,0.1452,3,0
10303,54.0,47375.6,649,9.1,0.2039,3,1
10304,52.3,38663.82,700,2.9,0.4555,1,0
10305,44.7,58047.65,840,13.5,0.1539,2,1
10306,46.4,36522.98,850,13.3,0.1103,6,1
10307,60.3,50422.72,729,10.7,0.2555,7,0
10308,37.9,49863.22,665,9.8,0.4598,2,0
10309,51.6,66288.43,723,16.8,0.3205,5,0
10310,42.6,57120.47,751,8.0,0.2803,3,1
10311,42.4,49624.6,654,2.1,0.3567,5,0
10312,58.2,62266.49,824,10.2,0.0881,0,1
10313,54.9,70853.11,698,18.4,0.4242,5,1
10314,54.8,58367.15,720,2.9,0.4075,2,1
10315,60.7,50155.29,733,6.2,0.2886,1,1
10316,45.3,30322.46,714,10.1,0.5009,1,0
10317,53.2,34023.3,747,7.7,0.1809,4,1
10318,41.3,45421.63,631,3.1,0.5192,1,0
10319,48.9,40857.32,635,13.6,0.3732,4,0
10320,43.4,47195.43,592,19.6,0.2995,4,1
10321,46.2,50849.75,715,9.0,0.347,2,0
10322,52.1,57945.39,742,3.5,0.3339,3,1
10323,35.2,48942.52,717,0.3,0.533,3,1
10324,70.1,57297.52,814,9.3,0.1885,7,1
10325,32.9,50967.12,680,13.5,0.2356,5,1
10326,30.4,20368.0,733,10.4,0.5054,5,0
10327,58.9,35909.97,593,8.0,0.2607,2,0
10328,54.5,47838.69,649,5.1,0.4851,0,0
10329,52.5,31854.58,736,2.5,0.6049,3,1
10330,52.5,58998.93,748,12.2,0.2897,4,1
10331,44.9,72961.26,656,12.6,0.4522,7,1
10332,34.2,68281.43,674,0.3,0.1769,3,0
10333,45.9,46798.36,559,15.9,0.4632,5,0
10334,36.9,72360.89,651,10.9,0.3799,3,0
10335,56.7,52230.01,751,15.0,0.421,5,1
10336,43.2,44943.71,726,1.3,0.2532,3,0
10337,35.1,40798.96,720,1.2,0.1008,3,0
10338,41.1,45462.95,684,7.3,0.4255,3,0
10339,50.0,44177.35,681,10.5,0.05,2,0
10340,38.2,52556.24,627,17.0,0.3024,1,0
10341,35.1,52408.61,736,11.5,0.4912,6,0
10342,47.9,50045.69,714,6.8,0.3788,5,0
10343,47.9,56554.07,719,2.9,0.6423,6,0
10344,38.9,67859.69,638,14.2,0.5038,4,0
10345,39.3,64243.31,508,3.2,0.2519,2,0
10346,47.8,27726.53,768,16.1,0.3541,5,0
10347,27.6,15000.0,642,6.6,0.3429,6,0
10348,28.1,64014.8,611,16.0,0.1127,6,0
10349,36.4,29496.82,735,11.4,0.2089,7,0
10350,42.4,46628.52,649,7.3,0.2659,5,0
10351,48.7,32448.3,765,5.4,0.05,2,1
10352,62.7,22970.29,729,6.3,0.3571,3,0
10353,55.3,58121.94,735,10.1,0.3126,4,1
10354,43.1,61387.33,571,8.4,0.0991,4,1
10355,44.8,41352.34,777,5.0,0.4106,2,0
10356,33.0,15000.0,701,7.2,0.4574,5,0
10357,44.8,41806.33,650,8.4,0.3841,4,0
10358,41.5,55877.06,691,0.0,0.3014,3,1
10359,48.9,27816.33,538,10.3,0.4387,4,0
10360,35.1,52750.4,713,3.1,0.452,6,0
10361,51.2,49770.35,598,2.2,0.3961,3,0
10362,63.4,58689.37,572,0.0,0.2263,2,0
10363,43.7,51793.71,558,0.0,0.3915,5,0
10364,49.8,35403.97,769,1.2,0.5293,5,0
10365,53.3,67948.57,630,4.5,0.2605,5,0
10366,40.2,47622.06,803,17.8,0.6647,3,0
10367,47.7,49590.43,637,5.4,0.2712,7,0
10368,45.2,36000.98,543,8.9,0.3549,3,0
10369,46.2,43350.77,591,10.0,0.2491,3,0
10370,35.7,36727.96,779,8.7,0.3835,2,0
10371,45.3,47405.81,668,7.6,0.0887,5,0
10372,51.0,75675.63,636,2.0,0.2681,3,0
10373,62.4,29421.48,693,15.3,0.1862,4,0
10374,56.5,25796.58,720,17.0,0.3703,4,0
10375,70.8,72067.55,769,0.0,0.4992,4,1
10376,35.8,46860.14,796,2.9,0.4469,4,1
10377,55.5,39963.91,651,6.6,0.05,5,1
10378,47.2,65598.57,574,3.2,0.6563,4,0
10379,71.3,40915.77,647,10.5,0.3943,6,0
10380,35.3,77390.15,701,4.4,0.2335,4,1
10381,34.9,60168.89,603,18.8,0.3736,1,0
10382,37.8,42681.33,603,14.0,0.3764,1,0
10383,19.5,82359.62,708,9.1,0.25,3,1
10384,38.7,40914.28,676,13.1,0.3797,6,0
10385,35.9,61131.43,683,13.5,0.2589,4,1
10386,46.8,54489.39,619,5.2,0.2893,1,0
10387,49.1,69526.12,662,3.9,0.2471,5,1
10388,67.5,73422.67,606,8.4,0.1351,1,0
10389,56.4,50480.06,751,12.3,0.3719,3,1
10390,38.1,38698.73,763,8.7,0.4378,5,0
10391,34.2,56899.58,532,0.1,0.4272,3,0
10392,50.9,39834.27,606,4.0,0.473,4,0
10393,29.2,80200.81,560,7.6,0.3987,5,0
10394,67.0,52048.03,628,7.6,0.2701,5,0
10395,59.2,44520.18,673,17.9,0.4759,2,0
10396,39.4,52770.2,564,1.1,0.1464,4,0
10397,24.4,29793.11,606,10.5,0.2149,4,0
10398,61.2,35425.79,600,15.4,0.2054,7,0
10399,43.6,68006.21,697,19.4,0.512,2,0
10400,59.9,40146.59,686,6.0,0.4914,1,0
10401,25.9,34296.34,622,10.5,0.4231,5,0
10402,37.8,58049.79,694,10.8,0.5108,3,0
10403,45.1,67785.56,636,9.0,0.2181,3,0
10404,45.6,60784.3,658,7.5,0.4023,7,0
10405,39.6,64940.72,814,10.2,0.3312,4,1
10406,52.5,38648.07,787,0.0,0.477,5,1
10407,32.2,28672.84,576,11.4,0.3327,5,0
10408,43.3,72520.0,746,8.6,0.2923,2,1
10409,46.4,45159.8,745,6.9,0.4311,4,0
10410,51.2,46237.5,588,18.2,0.4814,7,0
10411,53.5,69922.91,746,4.6,0.2497,3,1
10412,31.5,58343.45,803,6.0,0.3408,6,0
10413,26.6,56838.32,590,18.0,0.1912,8,0
10414,60.3,82475.04,607,3.8,0.05,6,1
10415,49.0,40347.23,761,5.2,0.3801,3,0
10416,36.0,63917.6,702,7.3,0.4413,4,0
10417,63.6,50855.2,724,12.2,0.3893,2,1
10418,46.4,54028.88,707,9.0,0.0576,3,0
10419,59.2,72927.03,711,1.5,0.2974,5,1
10420,45.8,57617.54,574,5.3,0.05,4,0
10421,69.7,58074.44,764,5.0,0.5555,2,1
10422,66.1,66087.61,774,7.6,0.1871,4,1
10423,42.0,44525.71,662,10.1,0.5383,6,0
10424,56.7,37411.85,677,10.1,0.4919,6,0
10425,52.7,34327.86,558,0.0,0.2149,8,0
10426,61.4,20504.65,721,13.3,0.1801,0,1
10427,33.4,80843.11,726,9.3,0.4026,5,0
10428,53.2,33451.87,675,14.9,0.2234,2,0
10429,57.7,46681.2,770,10.2,0.3654,5,1
10430,23.9,45847.8,653,13.5,0.2776,1,0
10431,30.8,54611.1,725,10.3,0.0828,2,1
10432,20.5,62236.06,598,14.7,0.05,3,1
10433,41.8,62907.1,678,10.6,0.384,4,0
10434,53.6,41253.84,666,7.5,0.2658,1,0
10435,63.0,47493.17,698,19.4,0.267,3,1
10436,45.9,54238.7,650,12.4,0.4544,5,0
10437,64.5,46269.63,669,10.9,0.526,3,0
10438,28.4,74110.18,746,1.6,0.3091,5,1
10439,24.6,57364.62,645,1.6,0.2989,7,0
10440,44.3,61023.17,551,9.5,0.425,3,0
10441,49.6,59943.22,820,8.7,0.1465,3,1
10442,44.6,67602.11,791,4.9,0.3835,6,1
10443,20.2,52715.32,577,8.7,0.4328,5,0
10444,43.9,30547.52,735,15.9,0.452,3,0
10445,29.3,55995.32,640,11.5,0.0595,3,1
10446,53.0,40229.65,701,2.3,0.2358,5,0
10447,49.4,42070.75,704,7.4,0.2183,3,0
10448,33.7,58795.46,661,4.0,0.365,1,0
10449,38.8,68574.25,617,6.1,0.4221,5,0
10450,32.3,50319.07,625,5.9,0.5745,7,0
10451,44.2,54632.5,607,5.6,0.2758,3,0
10452,56.5,75533.22,613,1.7,0.2754,1,1
10453,33.2,53611.3,675,7.4,0.5225,4,1
10454,51.0,89025.25,623,5.2,0.3945,4,1
10455,38.6,58482.64,735,0.0,0.5401,8,1
10456,35.5,23588.56,799,18.3,0.3933,3,0
10457,43.7,61300.12,634,13.4,0.1764,4,0
10458,32.6,55717.38,699,6.1,0.15,4,0
10459,38.4,69346.29,720,8.1,0.1173,8,1
10460,30.6,60097.72,718,2.1,0.4493,3,0
10461,68.6,47923.16,686,16.5,0.5283,2,0
10462,45.4,31635.53,739,17.5,0.6274,3,0
10463,36.6,46864.65,719,8.8,0.4765,5,0
10464,47.6,37242.19,581,13.1,0.5244,5,0
10465,43.7,41292.15,750,8.9,0.263,6,1
10466,42.3,58828.68,751,1.3,0.1765,5,1
10467,52.4,75048.57,619,5.9,0.4775,5,1
10468,54.1,55920.07,683,8.7,0.4127,6,0
10469,38.6,32061.75,735,5.7,0.3661,0,0
10470,38.1,56669.04,663,6.9,0.4081,3,0
10471,41.7,67949.47,766,7.5,0.3985,1,1
10472,18.0,40853.26,850,7.6,0.5426,6,1
10473,26.8,47989.74,617,8.3,0.5442,1,0
10474,61.4,50220.32,570,2.7,0.4316,7,1
10475,64.7,38226.53,704,4.4,0.4769,3,1
10476,42.0,59724.21,738,1.6,0.4271,3,1
10477,51.9,48185.78,662,12.9,0.2808,3,1
10478,48.7,56292.99,796,0.0,0.4635,3,1
10479,80.0,36687.62,573,13.8,0.1408,4,0
10480,58.4,43438.13,735,14.9,0.5081,5,0
10481,43.5,60835.72,632,6.5,0.1708,4,0
10482,33.5,44407.5,818,0.0,0.3929,2,1
10483,25.7,75904.46,839,6.2,0.2232,3,1
10484,47.4,44005.46,619,7.7,0.433,4,0
10485,35.9,53370.27,636,2.9,0.3449,2,0
10486,27.9,63988.86,749,5.4,0.1108,3,1
10487,37.2,28724.51,649,15.7,0.4131,0,0
10488,32.0,23587.87,676,11.3,0.2633,8,0
10489,65.2,27115.16,682,3.4,0.4822,4,0
10490,55.6,68938.76,526,0.0,0.3502,3,0
10491,44.9,41722.13,679,6.4,0.4093,8,0
10492,62.8,88372.99,625,6.9,0.2064,5,0
10493,45.9,41536.29,641,10.5,0.2616,3,0
10494,34.7,52768.27,795,5.3,0.2812,5,1
10495,63.3,73131.65,579,10.6,0.4785,1,0
10496,51.5,80091.39,745,17.7,0.6016,4,0
10497,32.6,80922.55,658,12.1,0.2292,3,1
10498,42.7,68125.49,658,7.8,0.5115,1,0
10499,34.5,65360.94,743,7.1,0.05,3,1
10500,28.4,58887.9,707,6.2,0.1709,4,1
10501,56.1,61675.42,726,13.9,0.2062,1,0
10502,67.9,41732.21,757,4.9,0.1471,6,1
10503,28.2,37727.02,653,8.2,0.1125,2,0
10504,51.8,49949.38,631,8.3,0.4119,4,0
10505,37.2,47447.23,593,5.5,0.3179,4,0
10506,39.2,43201.58,614,1.1,0.4069,6,0
10507,37.9,60445.81,850,9.6,0.4536,3,1
10508,34.6,64329.58,780,7.7,0.3898,3,1
10509,45.6,51326.1,572,10.5,0.4487,2,0
10510,35.0,72162.95,574,5.3,0.3396,7,0
10511,48.2,32874.66,719,14.1,0.172,2,1
10512,44.4,47095.11,724,3.6,0.5087,4,0
10513,42.1,39247.67,724,16.6,0.2616,5,1
10514,34.1,22001.95,660,0.0,0.2097,2,1
10515,38.1,48759.79,670,10.2,0.3233,5,1
10516,54.1,48173.79,706,10.4,0.2131,5,0
10517,51.0,72701.75,687,4.0,0.2874,3,0
