customer_id,gender,age,has_partner,has_dependents,tenure_months,contract_type,payment_method,internet_service,monthly_charges,total_charges,has_paperless_billing,has_online_security,has_tech_support,has_streaming_tv,num_support_tickets,avg_call_duration,churn
30037,Female,42,No,No,13,Two year,Bank transfer,No,40.35,568.38,Yes,Yes,No,Yes,1,21.0,0
30038,Male,66,No,No,18,Two year,Electronic check,Fiber optic,64.81,1397.0,Yes,No,No,No,2,21.2,1
30039,Female,44,No,No,32,Month-to-month,Mailed check,DSL,111.78,3311.73,No,Yes,Yes,No,2,13.5,1
30040,Female,76,Yes,No,39,Month-to-month,Credit card,DSL,35.96,1500.06,Yes,No,No,No,2,21.0,0
30041,Male,80,No,No,46,Month-to-month,Mailed check,Fiber optic,39.82,2084.0,Yes,Yes,Yes,Yes,0,16.1,0
30042,Male,59,Yes,Yes,29,Month-to-month,Bank transfer,No,19.33,653.81,No,No,No,No,0,29.3,0
30043,Male,45,No,No,62,One year,Electronic check,DSL,19.45,1311.02,No,Yes,No,No,2,5.7,0
30044,Female,77,Yes,Yes,62,Month-to-month,Mailed check,Fiber optic,102.6,5810.59,No,No,Yes,No,1,18.4,0
30045,Female,33,Yes,No,57,Month-to-month,Electronic check,DSL,92.68,4915.68,Yes,Yes,No,No,4,15.2,0
30046,Female,32,Yes,No,16,Month-to-month,Bank transfer,Fiber optic,54.21,701.09,No,No,Yes,No,3,6.6,0
30047,Female,79,Yes,No,56,Month-to-month,Electronic check,DSL,89.23,5518.33,Yes,No,No,No,0,22.7,1
30048,Female,79,No,No,10,Two year,Electronic check,DSL,58.31,476.45,No,No,No,Yes,4,9.0,1
30049,Female,64,No,No,30,Month-to-month,Electronic check,DSL,115.2,3960.1,Yes,No,No,Yes,3,12.1,1
30050,Female,79,No,No,25,Two year,Electronic check,DSL,116.64,2471.21,No,No,No,Yes,2,11.9,0
30051,Male,68,Yes,No,5,Month-to-month,Mailed check,DSL,58.06,252.2,Yes,No,No,Yes,1,8.1,0
30052,Female,61,Yes,No,65,Month-to-month,Bank transfer,Fiber optic,105.13,6769.29,Yes,Yes,No,Yes,0,13.5,0
30053,Male,72,No,Yes,49,One year,Electronic check,DSL,96.86,5197.75,No,Yes,No,No,4,14.7,0
30054,Male,69,No,No,3,One year,Bank transfer,DSL,49.62,127.36,Yes,Yes,No,Yes,1,22.6,0
30055,Female,74,Yes,No,45,One year,Mailed check,DSL,41.67,1830.2,Yes,Yes,No,Yes,2,23.2,0
30056,Male,20,No,Yes,14,Month-to-month,Mailed check,No,64.74,900.14,Yes,No,No,Yes,4,5.6,1
30057,Male,54,No,No,30,Month-to-month,Credit card,Fiber optic,97.7,2593.68,No,No,No,No,3,18.2,1
30058,Male,68,No,Yes,68,One year,Electronic check,Fiber optic,115.94,6671.56,Yes,No,No,No,1,27.0,0
30059,Female,24,Yes,No,18,Month-to-month,Electronic check,Fiber optic,95.89,1958.29,No,No,No,Yes,0,4.2,1
30060,Male,38,No,Yes,62,Month-to-month,Bank transfer,DSL,105.23,6530.69,No,Yes,Yes,Yes,1,14.7,0
30061,Female,26,Yes,No,37,One year,Credit card,DSL,79.51,2370.42,No,Yes,Yes,No,3,22.8,0
30062,Female,56,No,No,25,Month-to-month,Mailed check,Fiber optic,103.21,2892.96,Yes,No,Yes,No,2,18.7,1
30063,Female,35,Yes,No,48,Month-to-month,Credit card,Fiber optic,98.01,5609.23,No,Yes,Yes,No,0,3.9,1
30064,Male,21,No,No,65,Month-to-month,Bank transfer,No,56.45,3824.72,Yes,No,Yes,No,2,12.5,0
30065,Male,42,No,No,53,Two year,Mailed check,No,74.3,3943.74,Yes,Yes,Yes,No,3,15.7,0
30066,Female,77,Yes,No,15,Month-to-month,Bank transfer,Fiber optic,100.08,1728.43,No,No,Yes,No,1,29.9,0
30067,Female,31,No,No,49,Two year,Mailed check,Fiber optic,22.7,1313.63,No,No,No,Yes,3,6.2,0
30068,Female,67,No,No,68,Month-to-month,Mailed check,DSL,100.42,7523.81,Yes,No,Yes,No,1,29.5,1
30069,Male,75,Yes,Yes,12,One year,Mailed check,DSL,36.14,424.22,Yes,No,Yes,No,4,11.9,1
30070,Male,26,Yes,Yes,59,Month-to-month,Bank transfer,No,70.5,4312.94,No,Yes,No,Yes,4,6.8,1
30071,Male,43,Yes,No,37,Month-to-month,Mailed check,DSL,100.44,4014.97,No,Yes,No,Yes,0,13.0,1
30072,Male,70,No,No,61,Two year,Electronic check,No,43.89,2349.88,Yes,Yes,Yes,No,0,18.8,1
30073,Male,19,No,Yes,43,Two year,Bank transfer,Fiber optic,43.07,1812.9,Yes,Yes,Yes,Yes,3,7.2,0
30074,Male,37,No,Yes,70,One year,Bank transfer,Fiber optic,59.08,4681.2,Yes,No,Yes,No,1,9.5,0
30075,Male,45,Yes,No,39,Two year,Credit card,DSL,109.25,4524.45,No,No,No,No,1,25.8,0
30076,Female,64,Yes,No,56,Month-to-month,Mailed check,Fiber optic,18.05,974.9,Yes,Yes,Yes,Yes,3,30.0,0
30077,Male,77,Yes,No,63,Month-to-month,Electronic check,Fiber optic,109.94,7378.81,No,No,No,Yes,2,10.2,1
30078,Female,24,No,No,46,Month-to-month,Electronic check,Fiber optic,33.69,1313.08,No,No,No,No,0,5.3,0
30079,Male,61,Yes,Yes,11,Two year,Bank transfer,DSL,118.99,1257.32,No,No,No,Yes,4,24.0,1
30080,Female,78,Yes,No,62,Month-to-month,Electronic check,DSL,115.39,7993.02,No,No,No,Yes,1,18.4,0
30081,Male,25,No,No,25,Two year,Credit card,Fiber optic,68.46,1520.16,Yes,No,Yes,Yes,3,3.9,0
30082,Male,64,No,No,71,Month-to-month,Electronic check,DSL,70.3,4364.32,Yes,No,No,No,2,28.5,0
30083,Male,52,Yes,No,52,One year,Credit card,Fiber optic,67.12,4119.63,No,No,No,No,2,3.3,1
30084,Female,31,Yes,No,4,Month-to-month,Bank transfer,Fiber optic,82.82,292.84,Yes,No,No,No,1,19.1,1
30085,Male,34,No,No,59,Month-to-month,Credit card,DSL,27.25,1454.0,Yes,Yes,No,Yes,1,13.3,0
30086,Male,53,No,Yes,72,One year,Electronic check,Fiber optic,21.33,1824.25,Yes,Yes,Yes,Yes,2,17.1,1
30087,Female,67,Yes,Yes,20,Month-to-month,Bank transfer,DSL,23.89,522.66,No,No,No,Yes,1,7.2,1
30088,Male,57,No,Yes,63,Two year,Electronic check,Fiber optic,63.33,4308.33,No,Yes,No,No,1,21.0,0
30089,Male,21,No,No,54,One year,Electronic check,DSL,46.11,2841.45,Yes,No,Yes,Yes,0,28.8,0
30090,Female,19,No,No,57,One year,Electronic check,DSL,81.45,3929.21,Yes,No,Yes,No,1,14.3,0
30091,Male,79,Yes,No,41,Two year,Bank transfer,DSL,119.23,5291.15,Yes,Yes,Yes,No,3,16.2,1
30092,Female,23,Yes,No,3,One year,Electronic check,Fiber optic,57.4,172.45,No,Yes,No,Yes,3,8.0,1
30093,Female,71,No,No,6,One year,Credit card,DSL,76.53,519.64,Yes,No,Yes,No,2,26.9,0
30094,Female,59,No,Yes,5,Month-to-month,Electronic check,DSL,60.39,302.93,No,Yes,Yes,Yes,0,29.2,1
30095,Male,21,No,Yes,5,Month-to-month,Mailed check,Fiber optic,104.42,547.21,No,Yes,No,Yes,2,23.8,1
30096,Male,71,No,Yes,54,One year,Electronic check,DSL,110.03,5888.72,No,No,Yes,No,4,16.7,1
30097,Female,46,Yes,No,47,Two year,Bank transfer,Fiber optic,107.49,5007.89,No,Yes,No,Yes,3,28.7,0
30098,Female,80,Yes,Yes,49,Month-to-month,Electronic check,Fiber optic,117.39,6368.67,No,No,No,Yes,0,5.5,1
30099,Male,35,Yes,No,9,Month-to-month,Credit card,No,20.81,196.92,No,Yes,No,No,1,14.9,0
30100,Male,43,No,No,20,One year,Mailed check,DSL,103.66,2183.71,Yes,No,Yes,Yes,3,16.6,0
30101,Male,61,No,Yes,61,Month-to-month,Credit card,DSL,94.68,5660.62,Yes,No,Yes,No,2,15.3,1
30102,Female,51,Yes,Yes,35,One year,Electronic check,Fiber optic,41.33,1464.55,No,No,No,Yes,1,24.3,1
30103,Male,27,Yes,No,50,One year,Mailed check,Fiber optic,115.54,6344.8,Yes,No,No,Yes,3,20.4,0
30104,Female,79,No,Yes,62,Month-to-month,Bank transfer,DSL,33.11,2320.46,Yes,No,No,No,2,4.7,0
30105,Female,53,No,Yes,17,Two year,Credit card,Fiber optic,87.31,1600.97,No,Yes,Yes,Yes,1,11.0,0
30106,Male,31,No,No,3,Month-to-month,Mailed check,Fiber optic,40.94,143.65,No,No,No,No,2,10.8,1
30107,Male,48,Yes,No,32,One year,Credit card,DSL,62.0,2238.21,Yes,Yes,No,Yes,1,17.4,0
30108,Female,65,No,Yes,13,Month-to-month,Electronic check,Fiber optic,91.35,1216.94,Yes,No,No,Yes,2,9.5,1
30109,Female,32,Yes,No,68,Month-to-month,Bank transfer,DSL,75.46,5483.09,Yes,No,No,Yes,0,4.4,0
30110,Male,25,Yes,Yes,14,Two year,Electronic check,No,61.61,1009.62,Yes,No,No,Yes,3,20.0,0
30111,Female,31,Yes,No,11,Month-to-month,Electronic check,Fiber optic,51.29,591.08,No,Yes,Yes,No,3,25.7,1
30112,Male,40,Yes,No,56,Month-to-month,Mailed check,DSL,103.65,6558.52,No,Yes,Yes,Yes,1,28.0,0
30113,Male,77,No,No,67,Month-to-month,Credit card,Fiber optic,32.67,2354.2,No,No,No,No,2,29.2,0
30114,Female,74,No,No,29,Month-to-month,Credit card,No,61.87,1831.5,Yes,No,Yes,Yes,2,23.7,0
30115,Female,79,Yes,No,9,Month-to-month,Mailed check,Fiber optic,110.18,889.22,Yes,No,No,Yes,0,5.1,1
30116,Male,57,No,No,67,Month-to-month,Credit card,DSL,104.28,6779.94,No,No,Yes,Yes,4,25.7,1
30117,Female,38,Yes,Yes,25,Two year,Mailed check,Fiber optic,58.9,1748.0,Yes,Yes,No,No,1,12.6,0
30118,Female,33,Yes,No,42,One year,Bank transfer,Fiber optic,95.84,4279.3,Yes,No,Yes,Yes,4,22.2,1
30119,Male,62,Yes,No,9,Month-to-month,Electronic check,DSL,101.96,941.28,No,Yes,No,Yes,3,16.4,1
30120,Female,35,Yes,No,40,One year,Bank transfer,DSL,108.67,5099.59,No,Yes,No,No,4,25.0,1
30121,Male,64,Yes,No,25,Month-to-month,Electronic check,Fiber optic,73.54,1902.12,Yes,Yes,Yes,Yes,1,13.3,1
30122,Female,70,No,No,5,Month-to-month,Electronic check,Fiber optic,38.86,196.33,Yes,No,Yes,Yes,1,2.8,1
30123,Male,41,No,Yes,11,Month-to-month,Bank transfer,DSL,44.04,534.69,Yes,Yes,No,Yes,2,17.1,0
30124,Female,43,No,No,59,Month-to-month,Credit card,Fiber optic,48.16,3083.15,No,No,Yes,Yes,0,6.0,0
30125,Female,42,Yes,Yes,38,Two year,Bank transfer,Fiber optic,78.57,2619.21,No,Yes,Yes,No,1,29.0,0
30126,Female,77,No,Yes,72,Month-to-month,Credit card,DSL,21.35,1519.56,Yes,Yes,No,Yes,4,16.3,1
30127,Female,77,No,Yes,5,Two year,Credit card,DSL,82.88,409.84,Yes,No,No,No,1,17.1,0
30128,Female,77,No,No,48,Month-to-month,Electronic check,Fiber optic,55.16,2518.71,No,Yes,Yes,Yes,1,27.3,0
30129,Female,62,Yes,Yes,18,Month-to-month,Mailed check,Fiber optic,48.11,871.97,Yes,No,No,No,5,19.1,0
30130,Female,58,No,No,70,One year,Bank transfer,Fiber optic,107.71,7277.64,No,No,No,Yes,3,9.8,0
30131,Female,46,No,No,37,One year,Credit card,DSL,64.92,2113.17,No,Yes,No,No,4,9.6,1
30132,Male,32,No,Yes,60,Month-to-month,Credit card,Fiber optic,27.7,1603.74,No,No,No,Yes,4,15.5,0
30133,Female,62,Yes,Yes,48,Month-to-month,Bank transfer,No,102.33,4071.48,No,No,No,No,2,26.1,1
30134,Female,18,No,Yes,28,Month-to-month,Bank transfer,Fiber optic,22.86,659.48,Yes,No,No,No,2,24.0,1
30135,Female,42,No,No,69,Two year,Bank transfer,DSL,92.13,7256.24,Yes,No,No,Yes,2,28.9,1
30136,Female,24,Yes,Yes,40,Month-to-month,Electronic check,Fiber optic,96.94,4227.03,No,No,No,No,2,3.1,1
30137,Female,26,Yes,No,45,Month-to-month,Electronic check,DSL,53.97,2293.03,Yes,Yes,Yes,No,3,8.8,1
30138,Male,41,No,No,62,Two year,Bank transfer,DSL,102.13,5286.18,Yes,Yes,No,Yes,1,3.3,0
30139,Male,18,Yes,No,58,Month-to-month,Credit card,DSL,70.6,3606.94,Yes,No,No,Yes,4,22.8,0
30140,Female,61,Yes,No,67,Month-to-month,Credit card,DSL,65.26,4451.98,Yes,Yes,No,Yes,2,5.1,0
30141,Female,25,No,No,56,Month-to-month,Electronic check,Fiber optic,22.63,1118.78,Yes,Yes,Yes,Yes,3,3.9,0
30142,Female,41,Yes,No,40,One year,Bank transfer,DSL,47.58,1936.68,No,No,No,Yes,2,17.3,0
30143,Female,80,No,No,40,Month-to-month,Credit card,No,112.96,4033.3,Yes,No,Yes,No,2,12.9,0
30144,Male,28,No,Yes,33,Month-to-month,Bank transfer,Fiber optic,57.97,2180.01,Yes,Yes,No,Yes,1,21.7,1
30145,Female,68,Yes,No,6,Two year,Electronic check,Fiber optic,73.76,424.37,Yes,Yes,No,Yes,1,15.1,1
30146,Male,34,No,No,19,Month-to-month,Bank transfer,Fiber optic,72.27,1233.37,Yes,No,No,No,1,13.3,1
30147,Female,25,Yes,Yes,40,Month-to-month,Bank transfer,Fiber optic,78.22,3519.68,No,Yes,No,No,4,13.3,1
30148,Male,52,No,No,59,Month-to-month,Bank transfer,Fiber optic,24.26,1341.36,Yes,No,No,No,1,26.3,1
30149,Male,52,No,No,59,One year,Bank transfer,Fiber optic,54.94,2737.72,Yes,No,Yes,No,2,12.5,0
30150,Male,50,Yes,No,48,Two year,Credit card,No,91.76,4528.53,Yes,No,No,No,1,10.7,0
30151,Female,76,No,No,41,Month-to-month,Electronic check,Fiber optic,38.46,1628.31,No,No,Yes,Yes,2,10.8,0
30152,Female,22,No,No,13,Month-to-month,Mailed check,Fiber optic,38.76,547.15,Yes,Yes,No,No,3,6.7,1
30153,Female,59,Yes,Yes,45,Month-to-month,Bank transfer,Fiber optic,19.03,767.36,Yes,Yes,Yes,No,2,26.0,0
30154,Female,56,Yes,No,53,Month-to-month,Electronic check,Fiber optic,62.62,3244.21,Yes,No,No,No,2,5.3,1
30155,Female,75,Yes,Yes,42,One year,Credit card,DSL,108.04,4142.66,Yes,No,No,Yes,0,27.3,0
30156,Male,58,No,No,63,Month-to-month,Electronic check,DSL,23.29,1221.33,Yes,Yes,Yes,No,0,9.2,0
30157,Male,45,Yes,No,27,Month-to-month,Mailed check,No,37.49,1164.72,No,Yes,No,No,0,27.1,0
30158,Male,24,Yes,Yes,38,Month-to-month,Credit card,DSL,49.63,2058.59,Yes,No,Yes,Yes,3,23.9,0
30159,Female,26,Yes,No,60,Month-to-month,Electronic check,No,92.64,5116.98,No,Yes,Yes,No,3,17.9,0
30160,Male,25,No,Yes,7,One year,Credit card,DSL,83.34,606.57,Yes,Yes,No,Yes,2,20.4,1
30161,Female,29,No,Yes,5,Month-to-month,Bank transfer,Fiber optic,60.43,266.04,Yes,No,No,No,0,10.4,1
30162,Male,51,No,No,45,Two year,Electronic check,Fiber optic,95.43,4964.68,No,Yes,No,No,3,17.7,0
30163,Female,50,Yes,Yes,58,Month-to-month,Credit card,DSL,80.18,3934.1,Yes,Yes,No,Yes,1,9.5,0
30164,Male,65,Yes,No,31,Two year,Electronic check,Fiber optic,109.4,2718.33,No,No,No,No,1,12.7,1
30165,Female,72,Yes,Yes,23,Month-to-month,Mailed check,Fiber optic,101.44,2334.99,No,No,No,No,2,23.2,1
30166,Male,40,Yes,Yes,42,One year,Electronic check,Fiber optic,43.79,1900.33,No,Yes,No,Yes,3,8.1,0
30167,Male,79,No,Yes,10,Month-to-month,Electronic check,Fiber optic,45.69,471.33,Yes,No,No,Yes,2,25.3,1
30168,Male,41,Yes,No,32,One year,Credit card,DSL,30.79,809.71,Yes,No,No,No,2,11.9,0
30169,Female,54,No,Yes,53,Month-to-month,Bank transfer,Fiber optic,52.37,2569.15,Yes,No,No,No,3,16.4,0
30170,Male,52,No,No,30,Month-to-month,Electronic check,DSL,119.95,3597.35,Yes,Yes,No,Yes,6,28.3,1
30171,Male,61,No,No,39,One year,Bank transfer,DSL,59.39,2053.63,Yes,Yes,Yes,No,2,20.8,0
30172,Male,57,No,Yes,31,One year,Bank transfer,No,40.49,1442.28,Yes,No,Yes,No,0,19.7,0
30173,Female,39,No,Yes,2,One year,Credit card,Fiber optic,95.77,159.91,Yes,No,No,No,3,21.6,1
30174,Male,44,Yes,No,12,Month-to-month,Mailed check,Fiber optic,73.33,875.52,Yes,No,Yes,Yes,0,27.6,1
30175,Female,52,No,No,39,Month-to-month,Credit card,Fiber optic,33.26,1396.46,No,No,Yes,No,1,8.2,0
30176,Male,18,No,No,66,One year,Mailed check,DSL,56.83,3393.33,No,No,No,No,0,18.8,0
30177,Male,52,No,No,13,Month-to-month,Bank transfer,Fiber optic,60.28,822.58,Yes,Yes,Yes,No,5,12.6,1
30178,Female,54,Yes,No,46,Month-to-month,Credit card,Fiber optic,94.89,4940.04,No,No,No,Yes,0,1.3,1
30179,Female,64,Yes,No,27,Month-to-month,Electronic check,DSL,20.11,475.71,Yes,No,No,No,7,4.6,1
30180,Male,31,No,No,17,Month-to-month,Electronic check,No,45.44,901.4,Yes,No,Yes,Yes,2,10.4,0
30181,Female,20,Yes,Yes,60,Month-to-month,Electronic check,Fiber optic,70.79,4338.39,Yes,Yes,Yes,No,4,17.4,1
30182,Female,18,Yes,Yes,64,One year,Electronic check,DSL,45.42,2673.44,No,No,Yes,Yes,4,26.6,0
30183,Female,22,Yes,No,35,Two year,Electronic check,Fiber optic,82.1,2794.03,Yes,No,No,No,1,23.9,0
30184,Male,43,No,No,70,Month-to-month,Bank transfer,Fiber optic,67.15,4347.38,Yes,Yes,No,No,2,17.0,0
30185,Male,72,Yes,Yes,30,Two year,Mailed check,DSL,54.89,1794.98,No,No,No,No,1,3.1,0
30186,Male,80,No,No,71,One year,Mailed check,Fiber optic,114.82,9118.42,Yes,No,No,Yes,2,9.3,0
30187,Female,31,Yes,No,63,Two year,Mailed check,No,82.48,5888.25,No,No,No,No,0,11.6,1
30188,Female,56,Yes,No,28,Two year,Electronic check,Fiber optic,31.25,1045.02,Yes,Yes,No,No,3,19.0,1
30189,Female,44,No,Yes,60,One year,Mailed check,No,75.13,5033.02,No,Yes,Yes,No,2,2.9,1
30190,Female,26,No,No,37,Month-to-month,Bank transfer,No,97.63,3758.8,No,No,No,No,2,16.4,1
30191,Male,32,Yes,Yes,22,Month-to-month,Electronic check,No,90.27,1858.22,No,No,No,Yes,3,27.1,1
30192,Female,32,Yes,Yes,68,Month-to-month,Credit card,DSL,35.55,2460.52,No,No,Yes,Yes,0,21.5,0
30193,Male,43,Yes,Yes,20,Two year,Mailed check,Fiber optic,117.19,1913.54,No,No,No,Yes,2,24.1,1
30194,Female,59,Yes,No,68,Two year,Credit card,DSL,63.78,4761.77,Yes,Yes,Yes,Yes,0,20.8,0
30195,Male,77,No,No,64,One year,Electronic check,Fiber optic,34.22,2142.74,No,No,No,Yes,0,7.0,0
30196,Male,30,Yes,No,17,Two year,Bank transfer,No,36.38,499.72,No,No,Yes,No,4,4.2,0
30197,Female,68,Yes,No,12,Two year,Bank transfer,DSL,28.02,277.4,Yes,No,Yes,No,1,25.1,0
30198,Female,80,Yes,No,22,Month-to-month,Credit card,Fiber optic,99.96,2100.13,No,No,No,No,2,21.2,1
30199,Female,49,Yes,Yes,17,One year,Bank transfer,Fiber optic,30.45,534.92,Yes,No,No,No,0,17.7,1
30200,Male,56,No,Yes,10,Month-to-month,Credit card,DSL,30.76,303.2,Yes,No,No,Yes,0,6.5,0
30201,Female,66,Yes,No,65,Month-to-month,Bank transfer,DSL,104.75,7133.4,Yes,Yes,No,No,4,18.5,1
30202,Male,69,Yes,No,22,Month-to-month,Bank transfer,Fiber optic,53.15,1160.08,No,Yes,No,Yes,0,1.9,1
30203,Female,78,Yes,No,50,Month-to-month,Credit card,DSL,21.15,1125.9,Yes,Yes,No,No,2,4.4,1
30204,Male,49,No,No,14,One year,Bank transfer,Fiber optic,23.29,289.43,Yes,No,Yes,Yes,1,10.0,1
30205,Female,21,No,No,64,Month-to-month,Mailed check,Fiber optic,32.5,1757.89,Yes,Yes,Yes,No,2,13.9,0
30206,Male,47,Yes,No,47,Two year,Electronic check,Fiber optic,39.77,1941.29,No,No,No,No,2,4.5,0
30207,Male,54,No,No,29,Month-to-month,Credit card,DSL,85.84,2474.11,No,No,No,Yes,2,4.5,1
30208,Male,40,No,No,36,Month-to-month,Mailed check,Fiber optic,34.05,993.81,Yes,No,No,Yes,2,22.1,1
30209,Female,56,Yes,No,52,Two year,Bank transfer,DSL,30.13,1491.86,No,Yes,No,No,2,17.5,1
30210,Male,62,Yes,No,7,One year,Electronic check,No,96.0,566.13,Yes,No,Yes,No,1,16.5,1
30211,Female,32,No,No,29,Month-to-month,Mailed check,DSL,86.45,2538.5,Yes,No,No,No,1,14.1,0
30212,Male,60,No,No,11,Month-to-month,Bank transfer,No,62.4,657.78,Yes,No,No,Yes,1,29.3,0
30213,Female,46,No,No,33,Month-to-month,Bank transfer,Fiber optic,74.03,2553.56,Yes,No,No,No,5,2.4,1
30214,Female,53,Yes,No,6,Two year,Mailed check,Fiber optic,49.82,335.46,No,No,No,Yes,3,6.2,1
30215,Male,30,No,No,32,One year,Electronic check,DSL,67.22,1978.67,No,No,No,Yes,2,19.8,1
30216,Male,49,Yes,No,51,Month-to-month,Electronic check,DSL,69.68,4210.55,Yes,No,Yes,Yes,1,5.0,0
30217,Female,24,No,No,58,Month-to-month,Bank transfer,Fiber optic,57.5,3382.54,Yes,No,No,No,3,18.1,0
30218,Male,76,No,No,26,Two year,Electronic check,DSL,110.47,3008.12,No,No,Yes,Yes,0,17.5,0
30219,Female,68,No,No,46,One year,Bank transfer,No,19.64,968.73,Yes,No,No,No,2,29.2,0
30220,Female,39,Yes,Yes,29,Two year,Bank transfer,Fiber optic,97.78,3024.73,Yes,No,No,Yes,1,26.6,0
30221,Female,45,Yes,No,4,Month-to-month,Credit card,No,30.69,123.3,No,No,No,Yes,3,28.4,0
30222,Female,19,No,No,13,Two year,Electronic check,Fiber optic,99.35,1254.75,No,No,No,No,1,4.3,1
30223,Female,59,Yes,No,39,One year,Electronic check,DSL,80.82,2589.39,Yes,Yes,No,Yes,0,26.2,0
30224,Female,62,Yes,No,15,One year,Mailed check,Fiber optic,104.01,1261.9,Yes,No,Yes,No,2,4.7,1
30225,Female,79,Yes,No,29,Month-to-month,Mailed check,DSL,27.95,764.5,Yes,No,No,No,3,19.4,0
30226,Female,74,Yes,No,29,Two year,Electronic check,DSL,75.02,2030.83,Yes,No,No,No,1,21.9,0
30227,Female,70,No,Yes,32,One year,Credit card,DSL,69.11,2112.17,No,Yes,No,Yes,2,5.7,0
30228,Male,23,Yes,No,2,Two year,Mailed check,No,90.03,154.01,Yes,No,Yes,No,1,19.3,0
30229,Female,45,Yes,No,47,Month-to-month,Electronic check,Fiber optic,72.5,3732.12,No,No,No,No,3,2.5,0
